paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone_idx,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,duration_weight,raw_viseme_id,source
P002,12,25,241,li,85,sapi_viseme_19,tts_viseme,2,1923,1924,76920,76960,2,19,tts_viseme
P002,12,25,241,li,86,sapi_viseme_14,tts_viseme,2,1925,1927,77000,77080,3,14,tts_viseme
P002,12,25,241,li,87,sapi_viseme_1,tts_viseme,4,1927,1929,77080,77160,3,1,tts_viseme
P002,12,25,241,li,88,sapi_viseme_1,tts_viseme,4,1930,1932,77200,77280,3,1,tts_viseme
P002,12,25,241,li,89,sapi_viseme_19,tts_viseme,2,1932,1933,77280,77320,2,19,tts_viseme
P002,12,25,241,li,90,sapi_viseme_15,tts_viseme,5,1932,1936,77280,77440,5,15,tts_viseme
P002,12,25,241,li,91,sapi_viseme_2,tts_viseme,7,1936,1938,77440,77520,3,2,tts_viseme
P002,12,25,241,li,92,sapi_viseme_8,tts_viseme,6,1938,1941,77520,77640,4,8,tts_viseme
P002,12,25,241,li,93,sapi_viseme_20,tts_viseme,4,1942,1942,77680,77680,1.0,20,tts_viseme
P002,12,25,241,li,94,sapi_viseme_7,tts_viseme,3,1942,1943,77680,77720,2,7,tts_viseme
P002,12,25,241,li,95,sapi_viseme_8,tts_viseme,6,1943,1945,77720,77800,3,8,tts_viseme
P002,12,25,241,li,96,sapi_viseme_8,tts_viseme,6,1945,1947,77800,77880,3,8,tts_viseme
P002,12,25,241,li,97,sapi_viseme_15,tts_viseme,5,1947,1951,77880,78040,5,15,tts_viseme
P002,12,25,241,li,98,sapi_viseme_6,tts_viseme,5,1951,1952,78040,78080,2,6,tts_viseme
P002,12,25,241,li,99,sapi_viseme_6,tts_viseme,5,1953,1954,78120,78160,2,6,tts_viseme
P002,12,25,241,li,100,sapi_viseme_16,tts_viseme,2,1955,1956,78200,78240,2,16,tts_viseme
P002,12,25,241,li,101,sapi_viseme_6,tts_viseme,5,1955,1958,78200,78320,4,6,tts_viseme
P002,12,25,241,li,102,sapi_viseme_2,tts_viseme,7,1959,1961,78360,78440,3,2,tts_viseme
P002,12,25,241,li,103,sapi_viseme_19,tts_viseme,2,1962,1988,78480,79520,27,19,tts_viseme
P002,12,25,241,li,104,sapi_viseme_19,tts_viseme,2,1988,1990,79520,79600,3,19,tts_viseme
P002,12,25,241,li,105,sapi_viseme_1,tts_viseme,4,1990,1992,79600,79680,3,1,tts_viseme
P002,12,25,241,li,106,sapi_viseme_1,tts_viseme,4,1992,1995,79680,79800,4,1,tts_viseme
P002,12,25,241,li,107,sapi_viseme_15,tts_viseme,5,1995,1999,79800,79960,5,15,tts_viseme
P002,12,25,241,li,108,sapi_viseme_6,tts_viseme,5,2000,2001,80000,80040,2,6,tts_viseme
P002,12,25,241,li,109,sapi_viseme_6,tts_viseme,5,2002,2003,80080,80120,2,6,tts_viseme
P002,12,25,241,li,110,sapi_viseme_15,tts_viseme,5,2003,2006,80120,80240,4,15,tts_viseme
P002,12,25,241,li,111,sapi_viseme_6,tts_viseme,5,2006,2007,80240,80280,2,6,tts_viseme
P002,12,25,241,li,112,sapi_viseme_6,tts_viseme,5,2008,2009,80320,80360,2,6,tts_viseme
P002,12,25,241,li,113,sapi_viseme_18,tts_viseme,1,2009,2011,80360,80440,3,18,tts_viseme
P002,12,25,241,li,114,sapi_viseme_2,tts_viseme,7,2012,2014,80480,80560,3,2,tts_viseme
P002,12,25,241,li,115,sapi_viseme_20,tts_viseme,4,2015,2018,80600,80720,4,20,tts_viseme
P002,12,25,241,li,116,sapi_viseme_19,tts_viseme,2,2018,2019,80720,80760,2,19,tts_viseme
P002,12,25,241,li,117,sapi_viseme_15,tts_viseme,5,2018,2019,80720,80760,2,15,tts_viseme
P002,12,25,241,li,118,sapi_viseme_1,tts_viseme,4,2020,2022,80800,80880,3,1,tts_viseme
P002,12,25,241,li,119,sapi_viseme_19,tts_viseme,2,2023,2026,80920,81040,4,19,tts_viseme
P002,12,25,241,li,120,sapi_viseme_21,tts_viseme,0,2026,2027,81040,81080,2,21,tts_viseme
P002,12,25,241,li,121,sapi_viseme_6,tts_viseme,5,2026,2028,81040,81120,3,6,tts_viseme
P002,12,25,241,li,122,sapi_viseme_2,tts_viseme,7,2029,2031,81160,81240,3,2,tts_viseme
P002,12,25,241,li,123,sapi_viseme_19,tts_viseme,2,2032,2034,81280,81360,3,19,tts_viseme
P002,12,25,241,li,124,sapi_viseme_21,tts_viseme,0,2035,2035,81400,81400,1.0,21,tts_viseme
P002,12,25,241,li,125,sapi_viseme_7,tts_viseme,3,2035,2035,81400,81400,1.0,7,tts_viseme
P002,12,25,241,li,126,sapi_viseme_7,tts_viseme,3,2036,2037,81440,81480,2,7,tts_viseme
P002,12,25,241,li,127,sapi_viseme_7,tts_viseme,3,2037,2039,81480,81560,3,7,tts_viseme
P002,12,25,241,li,128,sapi_viseme_6,tts_viseme,5,2040,2040,81600,81600,1.0,6,tts_viseme
P002,12,25,241,li,129,sapi_viseme_21,tts_viseme,0,2040,2041,81600,81640,2,21,tts_viseme
P002,12,25,241,li,130,sapi_viseme_2,tts_viseme,7,2042,2044,81680,81760,3,2,tts_viseme
P002,12,25,241,li,131,sapi_viseme_8,tts_viseme,6,2044,2046,81760,81840,3,8,tts_viseme
P002,12,25,241,li,132,sapi_viseme_16,tts_viseme,2,2047,2047,81880,81880,1.0,16,tts_viseme
P002,12,25,241,li,133,sapi_viseme_6,tts_viseme,5,2047,2050,81880,82000,4,6,tts_viseme
P002,12,25,241,li,134,sapi_viseme_1,tts_viseme,4,2050,2053,82000,82120,4,1,tts_viseme
P002,12,25,241,li,135,sapi_viseme_20,tts_viseme,4,2054,2056,82160,82240,3,20,tts_viseme
